M,64,6,GP,5H,통과 나사 플러그 게이지,미터 보통 나사,64,6,60,64,30,2,60.1029,23,9,6,8
M,68,6,GP,5H,통과 나사 플러그 게이지,미터 보통 나사,68,6,60,68,30,2,64.1029,23,9,6,8
M,1.6,0.35,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,1.6,0.35,60,1.6,14,-2,1.3727,10,2,5,35
M,1.8,0.35,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,1.8,0.35,60,1.8,14,-2,1.5727,10,2,5,35
M,2,0.4,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,2,0.4,60,2,14,-2,1.7402,10,2,5,31
M,2.2,0.45,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,2.2,0.45,60,2.2,14,-2,1.9077,10,2,5,26
M,2.5,0.45,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,2.5,0.45,60,2.5,14,-2,2.2077,10,2,5,26
M,3,0.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,3,0.5,60,3,14,-2,2.6752,10,2,5,25
M,3.5,0.6,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,3.5,0.6,60,3.5,14,-2,3.1103,10,2,5,21
M,4,0.7,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,4,0.7,60,4,14,-2,3.5453,10,2,5,18
M,4.5,0.75,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,4.5,0.75,60,4.5,14,-2,4.0129,10,2,5,17
M,5,0.8,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,5,0.8,60,5,14,-2,4.4804,10,2,5,16
M,6,1,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,6,1,60,6,22,2,5.3505,17,7,5,15
M,7,1,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,7,1,60,7,22,2,6.3505,17,7,5,15
M,8,1.25,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,8,1.25,60,8,22,2,7.1881,17,7,5,13
M,9,1.25,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,9,1.25,60,9,22,2,8.1881,17,7,5,13
M,10,1.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,10,1.5,60,10,22,2,9.0257,17,7,5,12
