측정점(g),분동호칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20 g,10 g,5 g,2 g,2 g´,,,,,,,,,,,,,,,,,,,,,,,,,
40,20 g,20 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,20 g,20 g´,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,50 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,50 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,50 g,10 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,50 g,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,50 g,20 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,50 g,20 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,50 g,20 g,10 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,
90,50 g,20 g,20 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,50 g,20 g,20 g´,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,100 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,100 g,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,100 g,20 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,100 g,20 g,20 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,100 g,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,100 g,50 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,100 g,50 g,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,100 g,50 g,20 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,
190,100 g,50 g,20 g,20 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
200,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,200 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,200 g,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,200 g,20 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,200 g,20 g,20 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,200 g,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,200 g,50 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,200 g,50 g,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,200 g,50 g,20 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,
290,200 g,50 g,20 g,20 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
300,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,200 g,100 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,200 g,100 g,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,200 g,100 g,20 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,
340,200 g,100 g,20 g,20 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
350,200 g,100 g,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,200 g,100 g,50 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,
370,200 g,100 g,50 g,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,
380,200 g,100 g,50 g,20 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,
390,200 g,100 g,50 g,20 g,20 g´,,,,,,,,,,,,,,,,,,,,,,,,,
400,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,200 g,200 g´,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,500 g,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,500 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,500 g,100 g,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,500 g,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,500 g,200 g,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,500 g,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,500 g,200 g,100 g,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,
900,500 g,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,500 g,200 g,200 g´,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,1 kg,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,1 kg,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,1 kg,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,1 kg,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,1 kg,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,1 kg,500 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,1 kg,500 g,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,1 kg,500 g,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,1 kg,500 g,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,2 kg,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,2 kg,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,2 kg,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,2 kg,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,2 kg,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,2 kg,500 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,2 kg,500 g,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,2 kg,500 g,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,2 kg,500 g,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,2 kg,1 kg,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,2 kg,1 kg,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,2 kg,1 kg,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,2 kg,1 kg,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,2 kg,1 kg,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,2 kg,1 kg,500 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
3700,2 kg,1 kg,500 g,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,2 kg,1 kg,500 g,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,
3900,2 kg,1 kg,500 g,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,
4000,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,2 kg,2 kg´,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,2 kg,2 kg´,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,2 kg,2 kg´,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,2 kg,2 kg´,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,2 kg,2 kg´,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,2 kg,2 kg´,500 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,2 kg,2 kg´,500 g,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,2 kg,2 kg´,500 g,200 g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,
4900,2 kg,2 kg´,500 g,200 g,200 g´,,,,,,,,,,,,,,,,,,,,,,,,,
5000,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100,5 kg,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,5 kg,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
